pile_lng,pile_lat,id,date,status
143.50194480000002,-34.7850003,K-91-17,2019-06-06T00:00:00.0000000,3-module
143.5019461,-34.779691899999996,I1-92-06,2019-07-19T00:00:00.0000000,1-pile
143.5019467,-34.785063799999996,K-91-16,2019-04-17T00:00:00.0000000,1-pile
143.5019467,-34.785063799999996,K-91-16,2019-06-05T00:00:00.0000000,2-frame
143.5019467,-34.785063799999996,K-91-16,2019-06-06T00:00:00.0000000,3-module
143.5019483,-34.779764899999996,I1-92-05,2019-07-19T00:00:00.0000000,1-pile
143.5019489,-34.7851368,K-91-15,2019-04-17T00:00:00.0000000,1-pile
143.5019489,-34.7851368,K-91-15,2019-06-05T00:00:00.0000000,2-frame
143.5019489,-34.7851368,K-91-15,2019-06-06T00:00:00.0000000,3-module
143.5019503,-34.7798282,I1-92-04,2019-07-19T00:00:00.0000000,1-pile
143.50195119999998,-34.7852125,K-91-14,2019-04-17T00:00:00.0000000,1-pile
143.50195119999998,-34.7852125,K-91-14,2019-06-05T00:00:00.0000000,2-frame
143.50195119999998,-34.7852125,K-91-14,2019-06-06T00:00:00.0000000,3-module
143.5019525,-34.779901200000005,I1-92-03,2019-07-19T00:00:00.0000000,1-pile
143.5019534,-34.7852854,K-91-13,2019-04-17T00:00:00.0000000,1-pile
143.5019534,-34.7852854,K-91-13,2019-06-05T00:00:00.0000000,2-frame
143.5019534,-34.7852854,K-91-13,2019-06-06T00:00:00.0000000,3-module
143.50195469999997,-34.779976899999994,I1-92-02,2019-07-19T00:00:00.0000000,1-pile
143.50195530000002,-34.7853489,K-91-12,2019-04-17T00:00:00.0000000,1-pile
143.50195530000002,-34.7853489,K-91-12,2019-06-05T00:00:00.0000000,2-frame
143.50195530000002,-34.7853489,K-91-12,2019-06-06T00:00:00.0000000,3-module
143.501957,-34.7800499,I1-92-01,2019-07-19T00:00:00.0000000,1-pile
143.5019575,-34.785421899999996,K-91-11,2019-04-17T00:00:00.0000000,1-pile
143.5019575,-34.785421899999996,K-91-11,2019-06-05T00:00:00.0000000,2-frame
143.5019575,-34.785421899999996,K-91-11,2019-06-06T00:00:00.0000000,3-module
143.50195980000004,-34.7854975,K-91-10,2019-04-17T00:00:00.0000000,1-pile
143.50195980000004,-34.7854975,K-91-10,2019-06-05T00:00:00.0000000,2-frame
143.50195980000004,-34.7854975,K-91-10,2019-06-06T00:00:00.0000000,3-module
143.50196200000002,-34.7855705,K-91-09,2019-04-17T00:00:00.0000000,1-pile
143.50196200000002,-34.7855705,K-91-09,2019-06-05T00:00:00.0000000,2-frame
143.50196200000002,-34.7855705,K-91-09,2019-06-06T00:00:00.0000000,3-module
143.501964,-34.785634,K-91-08,2019-04-17T00:00:00.0000000,1-pile
143.501964,-34.785634,K-91-08,2019-07-02T00:00:00.0000000,2-frame
143.501964,-34.785634,K-91-08,2019-07-22T00:00:00.0000000,3-module
143.5019647,-34.7803063,J1-92-40,2019-07-24T00:00:00.0000000,1-pile
143.5019647,-34.7803063,J1-92-40,2019-08-07T00:00:00.0000000,2-frame
143.50196619999997,-34.785707,K-91-07,2019-04-17T00:00:00.0000000,1-pile
143.50196619999997,-34.785707,K-91-07,2019-07-02T00:00:00.0000000,2-frame
143.50196619999997,-34.785707,K-91-07,2019-07-22T00:00:00.0000000,3-module
143.5019669,-34.78037929999999,J1-92-39,2019-07-24T00:00:00.0000000,1-pile
143.5019669,-34.78037929999999,J1-92-39,2019-08-07T00:00:00.0000000,2-frame
143.5019684,-34.785782700000006,K-91-06,2019-04-17T00:00:00.0000000,1-pile
143.5019684,-34.785782700000006,K-91-06,2019-07-02T00:00:00.0000000,2-frame
143.5019684,-34.785782700000006,K-91-06,2019-07-22T00:00:00.0000000,3-module
143.5019692,-34.7804549,J1-92-38,2019-07-24T00:00:00.0000000,1-pile
143.5019692,-34.7804549,J1-92-38,2019-08-07T00:00:00.0000000,2-frame
143.5019707,-34.785855600000005,K-91-05,2019-04-17T00:00:00.0000000,1-pile
143.5019707,-34.785855600000005,K-91-05,2019-07-02T00:00:00.0000000,2-frame
143.5019707,-34.785855600000005,K-91-05,2019-07-22T00:00:00.0000000,3-module
143.5019714,-34.780527899999996,J1-92-37,2019-07-24T00:00:00.0000000,1-pile
143.5019714,-34.780527899999996,J1-92-37,2019-08-07T00:00:00.0000000,2-frame
143.50197260000002,-34.7859191,K-91-04,2019-04-17T00:00:00.0000000,1-pile
143.50197260000002,-34.7859191,K-91-04,2019-06-06T00:00:00.0000000,2-frame
143.50197260000002,-34.7859191,K-91-04,2019-06-06T00:00:00.0000000,3-module
143.5019733,-34.7805913,J1-92-36,2019-07-24T00:00:00.0000000,1-pile
143.5019733,-34.7805913,J1-92-36,2019-08-07T00:00:00.0000000,2-frame
143.5019733,-34.7805913,J1-92-36,2019-08-19T00:00:00.0000000,3-module
143.50197480000003,-34.7859921,K-91-03,2019-04-17T00:00:00.0000000,1-pile
143.50197480000003,-34.7859921,K-91-03,2019-06-06T00:00:00.0000000,2-frame
143.50197480000003,-34.7859921,K-91-03,2019-06-06T00:00:00.0000000,3-module
143.5019755,-34.780664200000004,J1-92-35,2019-07-24T00:00:00.0000000,1-pile
143.5019755,-34.780664200000004,J1-92-35,2019-08-07T00:00:00.0000000,2-frame
143.5019755,-34.780664200000004,J1-92-35,2019-08-19T00:00:00.0000000,3-module
143.5019771,-34.7860678,K-91-02,2019-04-17T00:00:00.0000000,1-pile
143.5019771,-34.7860678,K-91-02,2019-06-06T00:00:00.0000000,2-frame
143.5019771,-34.7860678,K-91-02,2019-06-06T00:00:00.0000000,3-module
143.50197780000002,-34.7807399,J1-92-34,2019-07-24T00:00:00.0000000,1-pile
143.50197780000002,-34.7807399,J1-92-34,2019-08-07T00:00:00.0000000,2-frame
143.50197780000002,-34.7807399,J1-92-34,2019-08-19T00:00:00.0000000,3-module
143.50197930000002,-34.7861408,K-91-01,2019-04-17T00:00:00.0000000,1-pile
143.50197930000002,-34.7861408,K-91-01,2019-06-06T00:00:00.0000000,2-frame
143.50197930000002,-34.7861408,K-91-01,2019-06-06T00:00:00.0000000,3-module
143.50198,-34.780812899999994,J1-92-33,2019-07-24T00:00:00.0000000,1-pile
143.50198,-34.780812899999994,J1-92-33,2019-08-07T00:00:00.0000000,2-frame
143.50198,-34.780812899999994,J1-92-33,2019-08-19T00:00:00.0000000,3-module
143.5019819,-34.7808764,J1-92-32,2019-07-24T00:00:00.0000000,1-pile
143.5019819,-34.7808764,J1-92-32,2019-08-07T00:00:00.0000000,2-frame
143.5019819,-34.7808764,J1-92-32,2019-08-19T00:00:00.0000000,3-module
143.50198410000002,-34.780949299999996,J1-92-31,2019-07-24T00:00:00.0000000,1-pile
143.50198410000002,-34.780949299999996,J1-92-31,2019-08-07T00:00:00.0000000,2-frame
143.50198410000002,-34.780949299999996,J1-92-31,2019-08-19T00:00:00.0000000,3-module
143.5019864,-34.781025,J1-92-30,2019-07-24T00:00:00.0000000,1-pile
143.5019864,-34.781025,J1-92-30,2019-08-07T00:00:00.0000000,2-frame
143.5019864,-34.781025,J1-92-30,2019-08-19T00:00:00.0000000,3-module
143.5019886,-34.781098,J1-92-29,2019-07-24T00:00:00.0000000,1-pile
143.5019886,-34.781098,J1-92-29,2019-08-07T00:00:00.0000000,2-frame
143.5019886,-34.781098,J1-92-29,2019-08-19T00:00:00.0000000,3-module
143.5019905,-34.781161499999996,J1-92-28,2019-07-24T00:00:00.0000000,1-pile
143.5019905,-34.781161499999996,J1-92-28,2019-08-07T00:00:00.0000000,2-frame
143.5019905,-34.781161499999996,J1-92-28,2019-08-19T00:00:00.0000000,3-module
143.5019927,-34.7812345,J1-92-27,2019-07-24T00:00:00.0000000,1-pile
143.5019927,-34.7812345,J1-92-27,2019-08-07T00:00:00.0000000,2-frame
143.5019927,-34.7812345,J1-92-27,2019-08-19T00:00:00.0000000,3-module
143.501995,-34.7813102,J1-92-26,2019-07-24T00:00:00.0000000,1-pile
143.501995,-34.7813102,J1-92-26,2019-08-07T00:00:00.0000000,2-frame
143.501995,-34.7813102,J1-92-26,2019-08-19T00:00:00.0000000,3-module
143.50199719999998,-34.7813831,J1-92-25,2019-07-24T00:00:00.0000000,1-pile
143.50199719999998,-34.7813831,J1-92-25,2019-08-07T00:00:00.0000000,2-frame
143.50199719999998,-34.7813831,J1-92-25,2019-08-19T00:00:00.0000000,3-module
143.5019991,-34.7814465,J1-92-24,2019-07-24T00:00:00.0000000,1-pile
143.5019991,-34.7814465,J1-92-24,2019-08-07T00:00:00.0000000,2-frame
143.5019991,-34.7814465,J1-92-24,2019-08-19T00:00:00.0000000,3-module
143.5020009,-34.7868571,L-91-34,2019-04-06T00:00:00.0000000,1-pile
143.5020009,-34.7868571,L-91-34,2019-06-04T00:00:00.0000000,2-frame
143.5020009,-34.7868571,L-91-34,2019-06-04T00:00:00.0000000,3-module
143.50200139999998,-34.7815195,J1-92-23,2019-07-24T00:00:00.0000000,1-pile
143.50200139999998,-34.7815195,J1-92-23,2019-08-07T00:00:00.0000000,2-frame
143.50200139999998,-34.7815195,J1-92-23,2019-08-19T00:00:00.0000000,3-module
143.50200269999996,-34.7869157,L-91-33,2019-04-06T00:00:00.0000000,1-pile
143.50200269999996,-34.7869157,L-91-33,2019-06-04T00:00:00.0000000,2-frame
143.50200269999996,-34.7869157,L-91-33,2019-06-04T00:00:00.0000000,3-module
143.5020036,-34.781595200000005,J1-92-22,2019-07-24T00:00:00.0000000,1-pile
143.5020036,-34.781595200000005,J1-92-22,2019-08-07T00:00:00.0000000,2-frame
143.5020036,-34.781595200000005,J1-92-22,2019-08-19T00:00:00.0000000,3-module
143.5020042,-34.7869672,L-91-32,2019-04-06T00:00:00.0000000,1-pile
143.5020042,-34.7869672,L-91-32,2019-05-09T00:00:00.0000000,2-frame
143.5020042,-34.7869672,L-91-32,2019-05-09T00:00:00.0000000,3-module
143.5020058,-34.781668200000006,J1-92-21,2019-07-24T00:00:00.0000000,1-pile
143.5020058,-34.781668200000006,J1-92-21,2019-08-07T00:00:00.0000000,2-frame
143.5020058,-34.781668200000006,J1-92-21,2019-08-19T00:00:00.0000000,3-module
143.5020064,-34.7870402,L-91-31,2019-04-06T00:00:00.0000000,1-pile
143.5020064,-34.7870402,L-91-31,2019-05-09T00:00:00.0000000,2-frame
143.5020064,-34.7870402,L-91-31,2019-05-09T00:00:00.0000000,3-module
143.50200780000003,-34.7817316,J1-92-20,2019-05-27T00:00:00.0000000,1-pile
143.50200780000003,-34.7817316,J1-92-20,2019-08-07T00:00:00.0000000,2-frame
143.50200780000003,-34.7817316,J1-92-20,2019-08-19T00:00:00.0000000,3-module
143.50200869999998,-34.7871158,L-91-30,2019-04-06T00:00:00.0000000,1-pile
143.50200869999998,-34.7871158,L-91-30,2019-05-09T00:00:00.0000000,2-frame
143.50200869999998,-34.7871158,L-91-30,2019-05-09T00:00:00.0000000,3-module
143.50201,-34.7818046,J1-92-19,2019-05-27T00:00:00.0000000,1-pile
143.50201,-34.7818046,J1-92-19,2019-08-07T00:00:00.0000000,2-frame
143.50201,-34.7818046,J1-92-19,2019-08-19T00:00:00.0000000,3-module
143.50201090000002,-34.787188799999996,L-91-29,2019-04-06T00:00:00.0000000,1-pile
143.50201090000002,-34.787188799999996,L-91-29,2019-05-09T00:00:00.0000000,2-frame
143.50201090000002,-34.787188799999996,L-91-29,2019-05-09T00:00:00.0000000,3-module
143.5020121,-34.7711684,G1-94-40,2019-07-31T00:00:00.0000000,1-pile
143.5020122,-34.7818803,J1-92-18,2019-05-27T00:00:00.0000000,1-pile
143.5020122,-34.7818803,J1-92-18,2019-08-07T00:00:00.0000000,2-frame
143.5020122,-34.7818803,J1-92-18,2019-08-19T00:00:00.0000000,3-module
143.50201289999998,-34.7872523,L-91-28,2019-04-06T00:00:00.0000000,1-pile
143.50201289999998,-34.7872523,L-91-28,2019-05-09T00:00:00.0000000,2-frame
143.50201289999998,-34.7872523,L-91-28,2019-05-09T00:00:00.0000000,3-module
143.5020143,-34.77124129999999,G1-94-39,2019-07-31T00:00:00.0000000,1-pile
143.5020145,-34.781953200000004,J1-92-17,2019-05-27T00:00:00.0000000,1-pile
143.5020145,-34.781953200000004,J1-92-17,2019-08-07T00:00:00.0000000,2-frame
143.5020145,-34.781953200000004,J1-92-17,2019-08-19T00:00:00.0000000,3-module
143.5020151,-34.787325200000005,L-91-27,2019-04-06T00:00:00.0000000,1-pile
143.5020151,-34.787325200000005,L-91-27,2019-05-09T00:00:00.0000000,2-frame
143.5020151,-34.787325200000005,L-91-27,2019-05-09T00:00:00.0000000,3-module
143.5020164,-34.782016600000006,J1-92-16,2019-05-27T00:00:00.0000000,1-pile
143.5020164,-34.782016600000006,J1-92-16,2019-08-07T00:00:00.0000000,2-frame
143.5020164,-34.782016600000006,J1-92-16,2019-08-19T00:00:00.0000000,3-module
143.5020166,-34.771316999999996,G1-94-38,2019-07-31T00:00:00.0000000,1-pile
143.5020173,-34.787400899999994,L-91-26,2019-04-06T00:00:00.0000000,1-pile
143.5020173,-34.787400899999994,L-91-26,2019-05-09T00:00:00.0000000,2-frame
143.5020173,-34.787400899999994,L-91-26,2019-05-09T00:00:00.0000000,3-module
143.50201859999999,-34.7820896,J1-92-15,2019-07-24T00:00:00.0000000,1-pile
143.50201859999999,-34.7820896,J1-92-15,2019-08-07T00:00:00.0000000,2-frame
143.50201859999999,-34.7820896,J1-92-15,2019-08-19T00:00:00.0000000,3-module
143.5020188,-34.771390000000004,G1-94-37,2019-07-31T00:00:00.0000000,1-pile
143.50201950000002,-34.7874739,L-91-25,2019-04-06T00:00:00.0000000,1-pile
143.50201950000002,-34.7874739,L-91-25,2019-05-09T00:00:00.0000000,2-frame
143.50201950000002,-34.7874739,L-91-25,2019-05-09T00:00:00.0000000,3-module
143.5020207,-34.7714536,G1-94-36,2019-07-31T00:00:00.0000000,1-pile
143.5020209,-34.7821653,J1-92-14,2019-07-24T00:00:00.0000000,1-pile
143.5020209,-34.7821653,J1-92-14,2019-08-07T00:00:00.0000000,2-frame
143.5020209,-34.7821653,J1-92-14,2019-08-19T00:00:00.0000000,3-module
143.5020215,-34.7875374,L-91-24,2019-04-06T00:00:00.0000000,1-pile
143.5020215,-34.7875374,L-91-24,2019-05-09T00:00:00.0000000,2-frame
143.5020215,-34.7875374,L-91-24,2019-05-09T00:00:00.0000000,3-module
143.50202290000001,-34.7715265,G1-94-35,2019-07-31T00:00:00.0000000,1-pile
143.5020231,-34.782238299999996,J1-92-13,2019-07-24T00:00:00.0000000,1-pile
143.5020231,-34.782238299999996,J1-92-13,2019-08-07T00:00:00.0000000,2-frame
143.5020231,-34.782238299999996,J1-92-13,2019-08-19T00:00:00.0000000,3-module
143.5020237,-34.7876104,L-91-23,2019-04-06T00:00:00.0000000,1-pile
143.5020237,-34.7876104,L-91-23,2019-05-09T00:00:00.0000000,2-frame
143.5020237,-34.7876104,L-91-23,2019-05-09T00:00:00.0000000,3-module
143.502025,-34.7823018,J1-92-12,2019-07-24T00:00:00.0000000,1-pile
143.502025,-34.7823018,J1-92-12,2019-08-07T00:00:00.0000000,2-frame
143.502025,-34.7823018,J1-92-12,2019-08-19T00:00:00.0000000,3-module
143.5020252,-34.771602200000004,G1-94-34,2019-07-31T00:00:00.0000000,1-pile
143.502026,-34.787686,L-91-22,2019-04-06T00:00:00.0000000,1-pile
143.502026,-34.787686,L-91-22,2019-05-09T00:00:00.0000000,2-frame
143.502026,-34.787686,L-91-22,2019-05-09T00:00:00.0000000,3-module
143.5020272,-34.782374700000005,J1-92-11,2019-07-24T00:00:00.0000000,1-pile
143.5020272,-34.782374700000005,J1-92-11,2019-08-07T00:00:00.0000000,2-frame
143.5020272,-34.782374700000005,J1-92-11,2019-08-19T00:00:00.0000000,3-module
143.5020274,-34.771675200000004,G1-94-33,2019-07-31T00:00:00.0000000,1-pile
143.50202819999998,-34.787759,L-91-21,2019-04-06T00:00:00.0000000,1-pile
143.50202819999998,-34.787759,L-91-21,2019-05-09T00:00:00.0000000,2-frame
143.50202819999998,-34.787759,L-91-21,2019-05-09T00:00:00.0000000,3-module
143.5020293,-34.7717386,G1-94-32,2019-07-31T00:00:00.0000000,1-pile
143.5020295,-34.782450399999995,J1-92-10,2019-07-24T00:00:00.0000000,1-pile
143.5020295,-34.782450399999995,J1-92-10,2019-08-07T00:00:00.0000000,2-frame
143.5020295,-34.782450399999995,J1-92-10,2019-08-19T00:00:00.0000000,3-module
143.50203009999998,-34.7878225,L-91-20,2019-04-06T00:00:00.0000000,1-pile
